S.no,News,
FAKE_MAL_TE_0001,??????????? ???????????????? ????? ?????????? ???????????????,
FAKE_MAL_TE_0002,??????????? ???????? ?????? ?????????? ???????????? ??????? ????????????????????? ???????? ?? ??????,
FAKE_MAL_TE_0003,?????? ??????: ?????????? ?????????? ?????? ??????? ?????????,
FAKE_MAL_TE_0004,??????????? ??????? ????????? ?? ?????? ?????????????????,
FAKE_MAL_TE_0005,?????????? ??????? ?????????? ?????? ??????????????? ????? ???????,
FAKE_MAL_TE_0006,??????????? ????????? ????????????? ??? ?????????? ??????? ??????????? ????????????,
FAKE_MAL_TE_0007,?????????? ???????????? ????????? ?????????????????? ??????? ??????????,
FAKE_MAL_TE_0008,??????????? ????? ?????????????? ??????? ??????????????? ??????? ???? ??????????? ?????????????? ?????????,
FAKE_MAL_TE_0009,??????????? ????????? ?????????? ?????? ????????????? ?????? ???? ??????????,
FAKE_MAL_TE_0010,????? ??????????? ???????????????? ??????????????? ?????? ???????????? ?????????????. ????? ?? ????? ?????? ????? ????? ?????? ???????????? ????????????????????????. ???????? ????????? ??????????? ?????? ?????? ??????????,
FAKE_MAL_TE_0011,???????????? ???? ??????? ????? ??????????????? ????????? ????? ?????? ????? ???? ??????,
FAKE_MAL_TE_0012,?????? ??????? ????? ???? ????????? ?? ???????? ???????,
FAKE_MAL_TE_0013,????? ?????? ???????? 7 ?????????? ???? ????????? ???????,
FAKE_MAL_TE_0014,??????????? ?????? ????????? ???? ?? ?????????,
FAKE_MAL_TE_0015,?????????????? ??????? ????????? ????????? ??????????????? ??????? ??????? ??????????? ??????????,
FAKE_MAL_TE_0016,?????????? ????? ?? ?? ? ?????? ???????? ?????????? ???????????,
FAKE_MAL_TE_0017,????????????? ????-??????????? ??????? ?????????? ??????? ???????????????,
FAKE_MAL_TE_0018,??????? ???????? 50 ???????????? ????????? ????????? ??????,
FAKE_MAL_TE_0019,???? ??????????? ????????? ?????????????? ????????? ???????????????? ???????????????,
FAKE_MAL_TE_0020,?????????????????? ???????????????? ???????????????? ??.??.???????,
FAKE_MAL_TE_0021,???????????????? ??????????? ????????? ??? ????????????? ??.??.???????,
FAKE_MAL_TE_0022,??.???????????? ??????? ?????????????? ?????????? ???? ???????????? ??.??.???????,
FAKE_MAL_TE_0023,????????????? ?? ???????????? ?????? ???????? ??????? ??????????? ????????? ?????? ??.??.???????,
FAKE_MAL_TE_0024,???????????????????? ????????????????? ?????????? ?????? ????? ???????????.,
FAKE_MAL_TE_0025,???? ???????????????? ???????????????? ??????????? ????? ?????? ????????????? ?????????? ??????????? ???????? ???????????? ??????????????,
FAKE_MAL_TE_0026,?????? ??????? ??? ??????? ??? ????????????????????? ???? ????? ??????????????????.,
FAKE_MAL_TE_0027,???? ?????????????? ??????????? ?????? ?????? ???????? ???,
